"lat","lon","time","avg","max","min","n"
25,-82,2015-10-01,NA,-Inf,Inf,24
25,-82,2015-10-02,NA,-Inf,Inf,24
25,-82,2015-10-03,NA,-Inf,Inf,24
25,-82,2015-10-04,NA,-Inf,Inf,24
25,-82,2015-10-05,NA,-Inf,Inf,24
25,-82,2015-10-06,NA,-Inf,Inf,24
25,-82,2015-10-07,NA,-Inf,Inf,24
25,-82,2015-10-08,NA,-Inf,Inf,24
25,-82,2015-10-09,NA,-Inf,Inf,24
25,-82,2015-10-10,NA,-Inf,Inf,24
25,-82,2015-10-11,NA,-Inf,Inf,24
25,-82,2015-10-12,NA,-Inf,Inf,24
25,-82,2015-10-13,NA,-Inf,Inf,24
25,-82,2015-10-14,NA,-Inf,Inf,24
25,-82,2015-10-15,NA,-Inf,Inf,24
25,-82,2015-10-16,NA,-Inf,Inf,24
25,-82,2015-10-17,NA,-Inf,Inf,24
25,-82,2015-10-18,NA,-Inf,Inf,24
25,-82,2015-10-19,NA,-Inf,Inf,24
25,-82,2015-10-20,NA,-Inf,Inf,24
25,-82,2015-10-21,NA,-Inf,Inf,24
25,-82,2015-10-22,NA,-Inf,Inf,24
25,-82,2015-10-23,NA,-Inf,Inf,24
25,-82,2015-10-24,NA,-Inf,Inf,24
25,-82,2015-10-25,NA,-Inf,Inf,24
25,-82,2015-10-26,NA,-Inf,Inf,24
25,-82,2015-10-27,NA,-Inf,Inf,24
25,-82,2015-10-28,NA,-Inf,Inf,24
25,-82,2015-10-29,NA,-Inf,Inf,24
25,-82,2015-10-30,NA,-Inf,Inf,24
25,-82,2015-10-31,NA,-Inf,Inf,24
25,-81.9,2015-10-01,NA,-Inf,Inf,24
25,-81.9,2015-10-02,NA,-Inf,Inf,24
25,-81.9,2015-10-03,NA,-Inf,Inf,24
25,-81.9,2015-10-04,NA,-Inf,Inf,24
25,-81.9,2015-10-05,NA,-Inf,Inf,24
25,-81.9,2015-10-06,NA,-Inf,Inf,24
25,-81.9,2015-10-07,NA,-Inf,Inf,24
25,-81.9,2015-10-08,NA,-Inf,Inf,24
25,-81.9,2015-10-09,NA,-Inf,Inf,24
25,-81.9,2015-10-10,NA,-Inf,Inf,24
25,-81.9,2015-10-11,NA,-Inf,Inf,24
25,-81.9,2015-10-12,NA,-Inf,Inf,24
25,-81.9,2015-10-13,NA,-Inf,Inf,24
25,-81.9,2015-10-14,NA,-Inf,Inf,24
25,-81.9,2015-10-15,NA,-Inf,Inf,24
25,-81.9,2015-10-16,NA,-Inf,Inf,24
25,-81.9,2015-10-17,NA,-Inf,Inf,24
25,-81.9,2015-10-18,NA,-Inf,Inf,24
25,-81.9,2015-10-19,NA,-Inf,Inf,24
25,-81.9,2015-10-20,NA,-Inf,Inf,24
25,-81.9,2015-10-21,NA,-Inf,Inf,24
25,-81.9,2015-10-22,NA,-Inf,Inf,24
25,-81.9,2015-10-23,NA,-Inf,Inf,24
25,-81.9,2015-10-24,NA,-Inf,Inf,24
25,-81.9,2015-10-25,NA,-Inf,Inf,24
25,-81.9,2015-10-26,NA,-Inf,Inf,24
25,-81.9,2015-10-27,NA,-Inf,Inf,24
25,-81.9,2015-10-28,NA,-Inf,Inf,24
25,-81.9,2015-10-29,NA,-Inf,Inf,24
25,-81.9,2015-10-30,NA,-Inf,Inf,24
25,-81.9,2015-10-31,NA,-Inf,Inf,24
25,-81.8,2015-10-01,NA,-Inf,Inf,24
25,-81.8,2015-10-02,NA,-Inf,Inf,24
25,-81.8,2015-10-03,NA,-Inf,Inf,24
25,-81.8,2015-10-04,NA,-Inf,Inf,24
25,-81.8,2015-10-05,NA,-Inf,Inf,24
25,-81.8,2015-10-06,NA,-Inf,Inf,24
