Month,Variable,NaN_Count
12,lat,0
12,lon,0
12,time,0
12,avg_2m_temperature,11532
12,max_2m_temperature,11532
12,min_2m_temperature,11532
12,median_2m_temperature,11532
12,p25_2m_temperature,11532
12,p75_2m_temperature,11532
12,prcp_total,11532
12,next_day_prcp_total,11532
12,avg_10m_u_component_of_wind,11532
12,max_10m_u_component_of_wind,11532
12,min_10m_u_component_of_wind,11532
12,median_10m_u_component_of_wind,11532
12,p25_10m_u_component_of_wind,11532
12,p75_10m_u_component_of_wind,11532
12,avg_10m_v_component_of_wind,11532
12,max_10m_v_component_of_wind,11532
12,min_10m_v_component_of_wind,11532
12,median_10m_v_component_of_wind,11532
12,p25_10m_v_component_of_wind,11532
12,p75_10m_v_component_of_wind,11532
12,avg_lake_shape_factor,11532
12,max_lake_shape_factor,11532
12,min_lake_shape_factor,11532
12,median_lake_shape_factor,11532
12,p25_lake_shape_factor,11532
12,p75_lake_shape_factor,11532
12,avg_leaf_area_index_low_vegetation,11532
12,max_leaf_area_index_low_vegetation,11532
12,min_leaf_area_index_low_vegetation,11532
12,median_leaf_area_index_low_vegetation,11532
12,p25_leaf_area_index_low_vegetation,11532
12,p75_leaf_area_index_low_vegetation,11532
12,avg_leaf_area_index_high_vegetation,11532
12,max_leaf_area_index_high_vegetation,11532
12,min_leaf_area_index_high_vegetation,11532
12,median_leaf_area_index_high_vegetation,11532
12,p25_leaf_area_index_high_vegetation,11532
12,p75_leaf_area_index_high_vegetation,11532
12,avg_surface_pressure,11532
12,max_surface_pressure,11532
12,min_surface_pressure,11532
12,median_surface_pressure,11532
12,p25_surface_pressure,11532
12,p75_surface_pressure,11532
12,sensFlux_total,11532
